pollster,start_date,end_date,candidate_name,pct,sample_size,state,methodology,party,election_date
TIPP,2024-10-18,2024-10-20,Kamala Harris,47,1244,National,Online Panel,DEM,2024-11-05
TIPP,2024-10-18,2024-10-20,Donald Trump,48,1244,National,Online Panel,REP,2024-11-05
Quantus Insights,2024-10-17,2024-10-20,Kamala Harris,48.2,840,Pennsylvania,Online Panel,DEM,2024-11-05
Quantus Insights,2024-10-17,2024-10-20,Donald Trump,50.3,840,Pennsylvania,Online Panel,REP,2024-11-05
ActiVote,2024-10-07,2024-10-20,Kamala Harris,45.4,400,Florida,App Panel,DEM,2024-11-05
ActiVote,2024-10-07,2024-10-20,Donald Trump,54.6,400,Florida,App Panel,REP,2024-11-05
TIPP,2024-10-17,2024-10-19,Kamala Harris,47,1254,National,Online Panel,DEM,2024-11-05
TIPP,2024-10-17,2024-10-19,Donald Trump,49,1254,National,Online Panel,REP,2024-11-05
Trafalgar Group,2024-10-17,2024-10-19,Kamala Harris,43.3,1084,Pennsylvania,IVR/Live Phone/Text/Online Panel/Email,DEM,2024-11-05
Trafalgar Group,2024-10-17,2024-10-19,Donald Trump,46.3,1084,Pennsylvania,IVR/Live Phone/Text/Online Panel/Email,REP,2024-11-05
ActiVote,2024-09-15,2024-10-19,Kamala Harris,58.7,400,Colorado,App Panel,DEM,2024-11-05
ActiVote,2024-09-15,2024-10-19,Donald Trump,41.3,400,Colorado,App Panel,REP,2024-11-05
ActiVote,2024-09-13,2024-10-19,Kamala Harris,33.9,400,Oklahoma,App Panel,DEM,2024-11-05
ActiVote,2024-09-13,2024-10-19,Donald Trump,66.1,400,Oklahoma,App Panel,REP,2024-11-05
TIPP,2024-10-16,2024-10-18,Kamala Harris,48,1223,National,Online Panel,DEM,2024-11-05
TIPP,2024-10-16,2024-10-18,Donald Trump,47,1223,National,Online Panel,REP,2024-11-05
Redfield & Wilton Strategies,2024-10-16,2024-10-18,Kamala Harris,46,691,Arizona,Online Panel,DEM,2024-11-05
Redfield & Wilton Strategies,2024-10-16,2024-10-18,Donald Trump,49,691,Arizona,Online Panel,REP,2024-11-05
Redfield & Wilton Strategies,2024-10-16,2024-10-18,Chase Oliver,1,691,Arizona,Online Panel,LIB,2024-11-05
Redfield & Wilton Strategies,2024-10-16,2024-10-18,Jill Stein,1,691,Arizona,Online Panel,GRE,2024-11-05
Redfield & Wilton Strategies,2024-10-16,2024-10-18,Kamala Harris,45,1275,Florida,Online Panel,DEM,2024-11-05
Redfield & Wilton Strategies,2024-10-16,2024-10-18,Donald Trump,49,1275,Florida,Online Panel,REP,2024-11-05
Redfield & Wilton Strategies,2024-10-16,2024-10-18,Chase Oliver,1,1275,Florida,Online Panel,LIB,2024-11-05
Redfield & Wilton Strategies,2024-10-16,2024-10-18,Jill Stein,0,1275,Florida,Online Panel,GRE,2024-11-05
Redfield & Wilton Strategies,2024-10-16,2024-10-18,Kamala Harris,47,1008,Michigan,Online Panel,DEM,2024-11-05
Redfield & Wilton Strategies,2024-10-16,2024-10-18,Donald Trump,47,1008,Michigan,Online Panel,REP,2024-11-05
Redfield & Wilton Strategies,2024-10-16,2024-10-18,Chase Oliver,1,1008,Michigan,Online Panel,LIB,2024-11-05
Redfield & Wilton Strategies,2024-10-16,2024-10-18,Jill Stein,0,1008,Michigan,Online Panel,GRE,2024-11-05
Redfield & Wilton Strategies,2024-10-16,2024-10-18,Kamala Harris,46,529,Nevada,Online Panel,DEM,2024-11-05
Redfield & Wilton Strategies,2024-10-16,2024-10-18,Donald Trump,47,529,Nevada,Online Panel,REP,2024-11-05
Redfield & Wilton Strategies,2024-10-16,2024-10-18,Chase Oliver,1,529,Nevada,Online Panel,LIB,2024-11-05
Redfield & Wilton Strategies,2024-10-16,2024-10-18,Jill Stein,1,529,Nevada,Online Panel,GRE,2024-11-05
Redfield & Wilton Strategies,2024-10-16,2024-10-18,Kamala Harris,47,622,Wisconsin,Online Panel,DEM,2024-11-05
Redfield & Wilton Strategies,2024-10-16,2024-10-18,Donald Trump,46,622,Wisconsin,Online Panel,REP,2024-11-05
Redfield & Wilton Strategies,2024-10-16,2024-10-18,Chase Oliver,1,622,Wisconsin,Online Panel,LIB,2024-11-05
Redfield & Wilton Strategies,2024-10-16,2024-10-18,Jill Stein,0,622,Wisconsin,Online Panel,GRE,2024-11-05
Redfield & Wilton Strategies,2024-10-16,2024-10-18,Kamala Harris,45,843,North Carolina,Online Panel,DEM,2024-11-05
Redfield & Wilton Strategies,2024-10-16,2024-10-18,Donald Trump,48,843,North Carolina,Online Panel,REP,2024-11-05
Redfield & Wilton Strategies,2024-10-16,2024-10-18,Chase Oliver,0,843,North Carolina,Online Panel,LIB,2024-11-05
Redfield & Wilton Strategies,2024-10-16,2024-10-18,Jill Stein,1,843,North Carolina,Online Panel,GRE,2024-11-05
Redfield & Wilton Strategies,2024-10-16,2024-10-18,Kamala Harris,47,1019,Georgia,Online Panel,DEM,2024-11-05
Redfield & Wilton Strategies,2024-10-16,2024-10-18,Donald Trump,48,1019,Georgia,Online Panel,REP,2024-11-05
Redfield & Wilton Strategies,2024-10-16,2024-10-18,Chase Oliver,1,1019,Georgia,Online Panel,LIB,2024-11-05
Redfield & Wilton Strategies,2024-10-16,2024-10-18,Jill Stein,1,1019,Georgia,Online Panel,GRE,2024-11-05
Redfield & Wilton Strategies,2024-10-16,2024-10-18,Kamala Harris,48,1256,Pennsylvania,Online Panel,DEM,2024-11-05
Redfield & Wilton Strategies,2024-10-16,2024-10-18,Donald Trump,48,1256,Pennsylvania,Online Panel,REP,2024-11-05
Redfield & Wilton Strategies,2024-10-16,2024-10-18,Chase Oliver,1,1256,Pennsylvania,Online Panel,LIB,2024-11-05
Redfield & Wilton Strategies,2024-10-16,2024-10-18,Jill Stein,0,1256,Pennsylvania,Online Panel,GRE,2024-11-05
Suffolk,2024-10-14,2024-10-18,Kamala Harris,45.3,1000,National,Live Phone,DEM,2024-11-05
Suffolk,2024-10-14,2024-10-18,Donald Trump,44.4,1000,National,Live Phone,REP,2024-11-05
Suffolk,2024-10-14,2024-10-18,Jill Stein,0.8,1000,National,Live Phone,GRE,2024-11-05
