candidate_name,pct,sample_size,state,start_date,end_date,methodology,party,candidate_win
Kamala Harris,47,1244,National,2024-10-18,2024-10-20,Online Panel,DEM,0
Donald Trump,48,1244,National,2024-10-18,2024-10-20,Online Panel,REP,0
Donald Trump,50.3,840,Pennsylvania,2024-10-17,2024-10-20,Online Panel,REP,0
Kamala Harris,45.4,400,Florida,2024-10-07,2024-10-20,App Panel,DEM,0
Kamala Harris,47,1254,National,2024-10-17,2024-10-19,Online Panel,DEM,0
Donald Trump,49,1254,National,2024-10-17,2024-10-19,Online Panel,REP,0
Kamala Harris,43.3,1084,Pennsylvania,2024-10-17,2024-10-19,IVR/Live Phone/Text/Online Panel/Email,DEM,0
Donald Trump,46.3,1084,Pennsylvania,2024-10-17,2024-10-19,IVR/Live Phone/Text/Online Panel/Email,REP,0
Kamala Harris,58.7,400,Colorado,2024-09-15,2024-10-19,App Panel,DEM,0
Donald Trump,41.3,400,Colorado,2024-09-15,2024-10-19,App Panel,REP,0
Kamala Harris,33.9,400,Oklahoma,2024-09-13,2024-10-19,App Panel,DEM,0
Donald Trump,66.1,400,Oklahoma,2024-09-13,2024-10-19,App Panel,REP,0
Kamala Harris,48,1223,National,2024-10-16,2024-10-18,Online Panel,DEM,0
Donald Trump,47,1223,National,2024-10-16,2024-10-18,Online Panel,REP,0
Kamala Harris,46,691,Arizona,2024-10-16,2024-10-18,Online Panel,DEM,0
Donald Trump,49,691,Arizona,2024-10-16,2024-10-18,Online Panel,REP,0
Donald Trump,49,1275,Florida,2024-10-16,2024-10-18,Online Panel,REP,0
Kamala Harris,47,1008,Michigan,2024-10-16,2024-10-18,Online Panel,DEM,0
Donald Trump,47,1008,Michigan,2024-10-16,2024-10-18,Online Panel,REP,0
Kamala Harris,47,622,Wisconsin,2024-10-16,2024-10-18,Online Panel,DEM,0
Donald Trump,46,622,Wisconsin,2024-10-16,2024-10-18,Online Panel,REP,0
Kamala Harris,45,843,North Carolina,2024-10-16,2024-10-18,Online Panel,DEM,0
Donald Trump,48,1019,Georgia,2024-10-16,2024-10-18,Online Panel,REP,0
Kamala Harris,48,1256,Pennsylvania,2024-10-16,2024-10-18,Online Panel,DEM,0
Donald Trump,48,1256,Pennsylvania,2024-10-16,2024-10-18,Online Panel,REP,0
Kamala Harris,45.3,1000,National,2024-10-14,2024-10-18,Live Phone,DEM,0
Donald Trump,48.7,1000,National,2024-10-14,2024-10-18,Live Phone,REP,0
Kamala Harris,48,600,Wisconsin,2024-10-11,2024-10-18,Online Panel,DEM,0
Kamala Harris,50,1024,New Mexico,2024-10-10,2024-10-18,Live Phone,DEM,0
Kamala Harris,55,571,Washington,2024-10-16,2024-10-17,IVR/Text,DEM,0
Donald Trump,40,571,Washington,2024-10-16,2024-10-17,IVR/Text,REP,0
Kamala Harris,53,716,Oregon,2024-10-16,2024-10-17,IVR/Text,DEM,0
Kamala Harris,49,1257,National,2024-10-15,2024-10-17,Online Panel,DEM,0
Kamala Harris,49.4,1045,National,2024-10-15,2024-10-17,Online Panel,DEM,0
Donald Trump,48.6,1045,National,2024-10-15,2024-10-17,Online Panel,REP,0
Kamala Harris,47,788,Florida,2024-10-14,2024-10-17,Online Panel,DEM,0
Donald Trump,52,788,Florida,2024-10-14,2024-10-17,Online Panel,REP,0
Kamala Harris,47.6,4180,National,2024-10-12,2024-10-17,Online Ad,DEM,0
Donald Trump,50.7,4180,National,2024-10-12,2024-10-17,Online Ad,REP,0
Kamala Harris,48.1,4180,National,2024-10-12,2024-10-17,Online Ad,DEM,0
Donald Trump,50.8,4180,National,2024-10-12,2024-10-17,Online Ad,REP,0
Donald Trump,49.2,1440,Arizona,2024-10-12,2024-10-17,Online Ad,REP,0
Kamala Harris,49.3,1440,Arizona,2024-10-12,2024-10-17,Online Ad,DEM,0
Donald Trump,49.2,1440,Arizona,2024-10-12,2024-10-17,Online Ad,REP,0
Kamala Harris,48.1,1411,Georgia,2024-10-12,2024-10-17,Online Ad,DEM,0
Kamala Harris,48.4,1411,Georgia,2024-10-12,2024-10-17,Online Ad,DEM,0
Donald Trump,50.1,1411,Georgia,2024-10-12,2024-10-17,Online Ad,REP,0
Kamala Harris,46.8,1529,Michigan,2024-10-12,2024-10-17,Online Ad,DEM,0
Kamala Harris,47.3,1529,Michigan,2024-10-12,2024-10-17,Online Ad,DEM,0
Kamala Harris,48.1,1171,Nevada,2024-10-12,2024-10-17,Online Ad,DEM,0
Donald Trump,48.4,1171,Nevada,2024-10-12,2024-10-17,Online Ad,REP,0
Kamala Harris,48.4,1171,Nevada,2024-10-12,2024-10-17,Online Ad,DEM,0
Donald Trump,48.3,1171,Nevada,2024-10-12,2024-10-17,Online Ad,REP,0
Kamala Harris,49.5,1674,North Carolina,2024-10-12,2024-10-17,Online Ad,DEM,0
Donald Trump,48.8,1674,North Carolina,2024-10-12,2024-10-17,Online Ad,REP,0
Kamala Harris,50.5,1674,North Carolina,2024-10-12,2024-10-17,Online Ad,DEM,0
Kamala Harris,46.5,2048,Pennsylvania,2024-10-12,2024-10-17,Online Ad,DEM,0
Kamala Harris,47.4,2048,Pennsylvania,2024-10-12,2024-10-17,Online Ad,DEM,0
Donald Trump,49.9,2048,Pennsylvania,2024-10-12,2024-10-17,Online Ad,REP,0
Kamala Harris,48.9,932,Wisconsin,2024-10-12,2024-10-17,Online Ad,DEM,0
Donald Trump,45,600,Michigan,2024-10-11,2024-10-17,Online Panel,REP,0
Donald Trump,43,600,Michigan,2024-10-11,2024-10-17,Online Panel,REP,0
Kamala Harris,49,600,Pennsylvania,2024-10-11,2024-10-17,Online Panel,DEM,0
Donald Trump,48,600,Pennsylvania,2024-10-11,2024-10-17,Online Panel,REP,0
Donald Trump,51.1,1000,National,2024-10-09,2024-10-17,App Panel,REP,0
Kamala Harris,49.3,400,Georgia,2024-10-01,2024-10-17,App Panel,DEM,0
Donald Trump,50.7,400,Georgia,2024-10-01,2024-10-17,App Panel,REP,0
Donald Trump,58.4,400,South Carolina,2024-09-09,2024-10-17,App Panel,REP,0
Kamala Harris,49,1228,National,2024-10-14,2024-10-16,Online Panel,DEM,0
Kamala Harris,49.5,1000,National,2024-10-14,2024-10-16,IVR/Online Panel/Text-to-Web,DEM,0
Donald Trump,49.2,1000,National,2024-10-14,2024-10-16,IVR/Online Panel/Text-to-Web,REP,0
Kamala Harris,45,800,National,2024-10-14,2024-10-16,Online Panel,DEM,0
Kamala Harris,50,2950,National,2024-10-14,2024-10-16,Online Panel,DEM,0
Donald Trump,49,2950,National,2024-10-14,2024-10-16,Online Panel,REP,0
Kamala Harris,48.8,1029,Georgia,2024-10-14,2024-10-16,Online Panel,DEM,0
Kamala Harris,48.3,813,Georgia,2024-10-14,2024-10-16,Online Panel,DEM,0
Donald Trump,48.5,813,Georgia,2024-10-14,2024-10-16,Online Panel,REP,0
Kamala Harris,48.3,1029,Georgia,2024-10-14,2024-10-16,Online Panel,DEM,0
Donald Trump,44.8,1029,Georgia,2024-10-14,2024-10-16,Online Panel,REP,0
Donald Trump,48.5,813,Georgia,2024-10-14,2024-10-16,Online Panel,REP,0
Kamala Harris,48,1435,Arizona,2024-10-11,2024-10-16,Online Panel,DEM,0
Kamala Harris,49,789,Michigan,2024-10-10,2024-10-16,Online Panel,DEM,0
Kamala Harris,44.2,400,Texas,2024-09-26,2024-10-16,App Panel,DEM,0
Donald Trump,55.8,400,Texas,2024-09-26,2024-10-16,App Panel,REP,0
Kamala Harris,37.6,400,Tennessee,2024-09-24,2024-10-16,App Panel,DEM,0
Donald Trump,62.4,400,Tennessee,2024-09-24,2024-10-16,App Panel,REP,0
Kamala Harris,66.6,400,Massachusetts,2024-09-06,2024-10-16,App Panel,DEM,0
Kamala Harris,50,1248,National,2024-10-13,2024-10-15,Online Panel,DEM,0
Donald Trump,46,1248,National,2024-10-13,2024-10-15,Online Panel,REP,0
Kamala Harris,48,1457,National,2024-10-12,2024-10-15,Online Panel,DEM,0
Donald Trump,45,1457,National,2024-10-12,2024-10-15,Online Panel,REP,0
Kamala Harris,49,1314,National,2024-10-12,2024-10-15,Online Panel,DEM,0
Kamala Harris,49,653,Arizona,2024-10-06,2024-10-15,Online Panel,DEM,0
Kamala Harris,48,1002,Georgia,2024-10-06,2024-10-15,Online Panel,DEM,0
Donald Trump,31,490,Maryland,2024-10-06,2024-10-15,Online Panel,REP,0
Kamala Harris,49,1065,Michigan,2024-10-06,2024-10-15,Online Panel,DEM,0
Donald Trump,47,1065,Michigan,2024-10-06,2024-10-15,Online Panel,REP,0
Kamala Harris,49,496,Nevada,2024-10-06,2024-10-15,Online Panel,DEM,0
Kamala Harris,48,1072,North Carolina,2024-10-06,2024-10-15,Online Panel,DEM,0
Kamala Harris,45,1243,Ohio,2024-10-06,2024-10-15,Online Panel,DEM,0
Donald Trump,52,1243,Ohio,2024-10-06,2024-10-15,Online Panel,REP,0
Kamala Harris,49,1395,Pennsylvania,2024-10-06,2024-10-15,Online Panel,DEM,0
Kamala Harris,46,2048,Texas,2024-10-06,2024-10-15,Online Panel,DEM,0
Kamala Harris,47,527,Wisconsin,2024-10-06,2024-10-15,Online Panel,DEM,0
